Reaction identifier	Your list:...006E2U	Equation	ChEBI identifier	Enzyme class	Enzymes
RHEA:49408	2.4.1.340	[(1->2)-beta-D-mannosyl](n) + phosphate = [(1->2)-beta-D-mannosyl](n-1) + alpha-D-mannose 1-phosphate	CHEBI:59573;CHEBI:43474;CHEBI:58409	EC:2.4.1.340 1,2-beta-oligomannan phosphorylase	1
RHEA:49416	2.7.1.212	alpha-D-ribose 1-phosphate + ADP = alpha-D-ribose 1,5-bisphosphate + AMP + H(+)	CHEBI:57720;CHEBI:456216;CHEBI:68688;CHEBI:456215;CHEBI:15378	EC:2.7.1.212 alpha-D-ribose-1-phosphate 5-kinase (ADP)	1
RHEA:49420	2.7.1.214	valienone + ATP = valienone 7-phosphate + ADP + H(+)	CHEBI:111521;CHEBI:30616;CHEBI:111522;CHEBI:456216;CHEBI:15378	EC:2.7.1.214 C7-cyclitol 7-kinase	2
RHEA:49424	2.7.1.214	validone + ATP = validone 7-phosphate + ADP + H(+)	CHEBI:111542;CHEBI:30616;CHEBI:111523;CHEBI:456216;CHEBI:15378	EC:2.7.1.214 C7-cyclitol 7-kinase	2
RHEA:49444	3.1.2.32	(2-aminobenzoyl)acetyl-CoA + H2O = (2-aminobenzoyl)acetate + CoA + H(+)	CHEBI:131447;CHEBI:15377;CHEBI:131446;CHEBI:57287;CHEBI:15378	EC:3.1.2.32 2-aminobenzoylacetyl-CoA thioesterase	1
RHEA:49452	3.2.1.199	a 6-sulfo-alpha-D-quinovosyldiacylglycerol + H2O = 6-sulfo-alpha-D-quinovose + a 1,2-diacyl-sn-glycerol	CHEBI:131487;CHEBI:15377;CHEBI:142956;CHEBI:17815	EC:3.2.1.199 sulfoquinovosidase	1
RHEA:49460	3.5.99.11	(2Z,4E)-2-aminomuconate + H2O = (2Z,4E)-2-hydroxyhexa-2,4-dienedioate + NH4(+)	CHEBI:77859;CHEBI:15377;CHEBI:28080;CHEBI:28938	EC:3.5.99.11 2-aminomuconate deaminase (2-hydroxymuconate-forming)	1
RHEA:49464	4.1.1.103	2,6-dihydroxybenzoate + H(+) = resorcinol + CO2	CHEBI:131450;CHEBI:15378;CHEBI:27810;CHEBI:16526	EC:4.1.1.103 gamma-resorcylate decarboxylase	4
RHEA:49528	3.1.1.101	(ethylene terephthalate)(n) + H2O = (ethylene terephthalate)(n-1) + 4-[(2-hydroxyethoxy)carbonyl]benzoate + H(+)	CHEBI:131701;CHEBI:15377;CHEBI:131704;CHEBI:15378	EC:3.1.1.101 poly(ethylene terephthalate) hydrolase	720
RHEA:49532	3.1.1.102	4-[(2-hydroxyethoxy)carbonyl]benzoate + H2O = terephthalate + ethylene glycol + H(+)	CHEBI:131704;CHEBI:15377;CHEBI:30043;CHEBI:30742;CHEBI:15378	EC:3.1.1.102 mono(ethylene terephthalate) hydrolase	2
RHEA:49548	3.5.1.124	N(omega)-(1-hydroxy-2-oxopropyl)-L-arginyl-[protein] + H2O = lactate + L-arginyl-[protein] + H(+)	CHEBI:131708;CHEBI:15377;CHEBI:24996;CHEBI:29965;CHEBI:15378	EC:3.5.1.124 protein deglycase	1055
RHEA:49552	3.5.1.124	N(6)-(1-hydroxy-2-oxopropyl)-L-lysyl-[protein] + H2O = lactate + L-lysyl-[protein] + H(+)	CHEBI:131709;CHEBI:15377;CHEBI:24996;CHEBI:29969;CHEBI:15378	EC:3.5.1.124 protein deglycase	1055
RHEA:49556	3.5.1.124	S-(1-hydroxy-2-oxopropyl)-L-cysteinyl-[protein] + H2O = lactate + L-cysteinyl-[protein] + H(+)	CHEBI:131710;CHEBI:15377;CHEBI:24996;CHEBI:29950;CHEBI:15378	EC:3.5.1.124 protein deglycase	1055
RHEA:49560	4.2.3.154	D-sedoheptulose 7-phosphate = (R)-demethyl-4-deoxygadusol + phosphate + H2O + H(+)	CHEBI:57483;CHEBI:132139;CHEBI:43474;CHEBI:15377;CHEBI:15378	EC:4.2.3.154 demethyl-4-deoxygadusol synthase	2
RHEA:49564	4.2.3.155	D-sedoheptulose 7-phosphate = 2-epi-valiolone + phosphate	CHEBI:57483;CHEBI:131717;CHEBI:43474	EC:4.2.3.155 2-epi-valiolone synthase	2
RHEA:49576	4.1.99.22	GTP + AH2 + S-adenosyl-L-methionine = (8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate + 5'-deoxyadenosine + L-methionine + A + H(+)	CHEBI:37565;CHEBI:17499;CHEBI:59789;CHEBI:131766;CHEBI:17319;CHEBI:57844;CHEBI:13193;CHEBI:15378	EC:4.1.99.22 GTP 3',8-cyclase	34245
RHEA:49580	4.6.1.17	(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate = cyclic pyranopterin phosphate + diphosphate	CHEBI:131766;CHEBI:59648;CHEBI:33019	EC:4.6.1.17 cyclic pyranopterin monophosphate synthase	30110
RHEA:49592	5.4.99.64	2-hydroxyisobutanoyl-CoA = (3S)-3-hydroxybutanoyl-CoA	CHEBI:131780;CHEBI:57316	EC:5.4.99.64 2-hydroxyisobutanoyl-CoA mutase	2
RHEA:49624	2.7.1.215	erythritol + ATP = D-erythritol 1-phosphate + ADP + H(+)	CHEBI:17113;CHEBI:30616;CHEBI:131849;CHEBI:456216;CHEBI:15378	EC:2.7.1.215 erythritol kinase (D-erythritol 1-phosphate-forming)	1
RHEA:49636	1.2.3.15	methylglyoxal + O2 + H2O = pyruvate + H2O2 + H(+)	CHEBI:17158;CHEBI:15379;CHEBI:15377;CHEBI:15361;CHEBI:16240;CHEBI:15378	EC:1.2.3.15 (methyl)glyoxal oxidase	1
RHEA:49676	1.14.13.225	L-methionyl(47)-[F-actin] + NADPH + O2 + H(+) = L-methionyl(47)-(R)-S-oxide-[F-actin] + NADP(+) + H2O	CHEBI:16044;CHEBI:57783;CHEBI:15379;CHEBI:15378;CHEBI:45764;CHEBI:58349;CHEBI:15377	EC:1.14.13.225 F-actin monooxygenase	0
RHEA:49716	1.14.13.223	3-hydroxy-4-methylanthranilyl-[aryl-carrier protein] + NADH + O2 + H(+) = 3,5-dihydroxy-4-methylanthranilyl-[aryl-carrier protein] + NAD(+) + H2O	CHEBI:131912;CHEBI:57945;CHEBI:15379;CHEBI:15378;CHEBI:131913;CHEBI:57540;CHEBI:15377	EC:1.14.13.223 3-hydroxy-4-methyl-anthranilyl-[aryl-carrier protein] 5-monooxygenase	1
RHEA:49996	1.14.15.28	cholest-4-en-3-one + 6 reduced [2Fe-2S]-[ferredoxin] + 3 O2 + 5 H(+) = (25R)-3-oxocholest-4-en-26-oate + 6 oxidized [2Fe-2S]-[ferredoxin] + 4 H2O	CHEBI:16175;CHEBI:33738;CHEBI:15379;CHEBI:15378;CHEBI:71570;CHEBI:33737;CHEBI:15377	EC:1.14.15.28 cholest-4-en-3-one 26-monooxygenase [(25R)-3-oxocholest-4-en-26-oate forming]	6
RHEA:50000	1.14.13.230	butane + NADH + O2 + H(+) = butan-1-ol + NAD(+) + H2O	CHEBI:37808;CHEBI:57945;CHEBI:15379;CHEBI:15378;CHEBI:28885;CHEBI:57540;CHEBI:15377	EC:1.14.13.230 butane monooxygenase (soluble)	0
RHEA:50004	1.14.13.231	tetracycline + NADPH + O2 + H(+) = 11a-hydroxytetracycline + NADP(+) + H2O	CHEBI:77932;CHEBI:57783;CHEBI:15379;CHEBI:15378;CHEBI:132727;CHEBI:58349;CHEBI:15377	EC:1.14.13.231 tetracycline 11a-monooxygenase	4
RHEA:50236	1.14.14.19	pregnenolone + reduced [NADPH--hemoprotein reductase] + O2 = 17alpha-hydroxypregnenolone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)	CHEBI:16581;CHEBI:57618;CHEBI:15379;CHEBI:28750;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.19 steroid 17alpha-monooxygenase	400
RHEA:50240	4.2.2.1	[hyaluronan](n) = n 3-(4-deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine + H2O	CHEBI:132153;CHEBI:132151;CHEBI:15377	EC:4.2.2.1 hyaluronate lyase	9
RHEA:50244	1.14.14.32,1.14.14.19	17alpha-hydroxypregnenolone + reduced [NADPH--hemoprotein reductase] + O2 = 3beta-hydroxyandrost-5-en-17-one + acetate + oxidized [NADPH--hemoprotein reductase] + H2O + 2 H(+)	CHEBI:28750;CHEBI:57618;CHEBI:15379;CHEBI:28689;CHEBI:30089;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.19 steroid 17alpha-monooxygenase;EC:1.14.14.32 17alpha-hydroxyprogesterone deacetylase	406
RHEA:50292	1.14.19.53	all-trans-retinol + 2 reduced [adrenodoxin] + O2 + 2 H(+) = all-trans-3,4-didehydroretinol + 2 oxidized [adrenodoxin] + 2 H2O	CHEBI:17336;CHEBI:33738;CHEBI:15379;CHEBI:15378;CHEBI:132246;CHEBI:33737;CHEBI:15377	EC:1.14.19.53 all-trans-retinol 3,4-desaturase	3
RHEA:50304	1.14.14.16	progesterone + reduced [NADPH--hemoprotein reductase] + O2 = 21-hydroxyprogesterone + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)	CHEBI:17026;CHEBI:57618;CHEBI:15379;CHEBI:16973;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.16 steroid 21-monooxygenase	9
RHEA:50308	1.14.14.16	17alpha-hydroxyprogesterone + reduced [NADPH--hemoprotein reductase] + O2 = 11-deoxycortisol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)	CHEBI:17252;CHEBI:57618;CHEBI:15379;CHEBI:28324;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.14.16 steroid 21-monooxygenase	9
RHEA:50380	2.3.1.253	3 malonyl-CoA + 3 H(+) = 1,3,5-trihydroxybenzene + 3 CO2 + 3 CoA	CHEBI:57384;CHEBI:15378;CHEBI:16204;CHEBI:16526;CHEBI:57287	EC:2.3.1.253 phloroglucinol synthase	2
RHEA:50396	2.3.1.230	(2-aminobenzoyl)acetate + octanoyl-CoA + H(+) = 2-heptyl-4(1H)-quinolone + CO2 + CoA + H2O	CHEBI:131446;CHEBI:57386;CHEBI:15378;CHEBI:62219;CHEBI:16526;CHEBI:57287;CHEBI:15377	EC:2.3.1.230 2-heptyl-4(1H)-quinolone synthase	1
RHEA:50472	2.3.1.262	anthraniloyl-CoA + malonyl-CoA + H(+) = (2-aminobenzoyl)acetyl-CoA + CO2 + CoA	CHEBI:57331;CHEBI:57384;CHEBI:15378;CHEBI:131447;CHEBI:16526;CHEBI:57287	EC:2.3.1.262 anthraniloyl-CoA anthraniloyltransferase	1
RHEA:50496	2.3.1.255	N-terminal glycyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetylglycyl-[protein] + CoA + H(+)	CHEBI:64723;CHEBI:57288;CHEBI:133369;CHEBI:57287;CHEBI:15378	EC:2.3.1.255 N-terminal amino-acid N(alpha)-acetyltransferase NatA	2032
RHEA:50500	2.3.1.255	N-terminal L-alanyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-alanyl-[protein] + CoA + H(+)	CHEBI:64718;CHEBI:57288;CHEBI:83683;CHEBI:57287;CHEBI:15378	EC:2.3.1.255 N-terminal amino-acid N(alpha)-acetyltransferase NatA	2038
RHEA:50504	2.3.1.255	N-terminal L-seryl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-seryl-[protein] + CoA + H(+)	CHEBI:64738;CHEBI:57288;CHEBI:83690;CHEBI:57287;CHEBI:15378	EC:2.3.1.255 N-terminal amino-acid N(alpha)-acetyltransferase NatA	2038
RHEA:50508	2.3.1.255	N-terminal L-valyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-valyl-[protein] + CoA + H(+)	CHEBI:64741;CHEBI:57288;CHEBI:133371;CHEBI:57287;CHEBI:15378	EC:2.3.1.255 N-terminal amino-acid N(alpha)-acetyltransferase NatA	2035
RHEA:50512	2.3.1.255	N-terminal L-cysteinyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-cysteinyl-[protein] + CoA + H(+)	CHEBI:65250;CHEBI:57288;CHEBI:133372;CHEBI:57287;CHEBI:15378	EC:2.3.1.255 N-terminal amino-acid N(alpha)-acetyltransferase NatA	2029
RHEA:50516	2.3.1.255	N-terminal L-threonyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-threonyl-[protein] + CoA + H(+)	CHEBI:64739;CHEBI:57288;CHEBI:133375;CHEBI:57287;CHEBI:15378	EC:2.3.1.255 N-terminal amino-acid N(alpha)-acetyltransferase NatA	2035
RHEA:50520	2.3.1.258	N-terminal L-methionyl-L-leucyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-methionyl-L-leucyl-[protein] + CoA + H(+)	CHEBI:133377;CHEBI:57288;CHEBI:133378;CHEBI:57287;CHEBI:15378	EC:2.3.1.256 N-terminal methionine N(alpha)-acetyltransferase NatC;EC:2.3.1.258 N-terminal methionine N(alpha)-acetyltransferase NatE	2037
RHEA:50528	2.3.1.258	N-terminal L-methionyl-L-phenylalanyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-methionyl-L-phenylalanyl-[protein] + CoA + H(+)	CHEBI:133383;CHEBI:57288;CHEBI:133382;CHEBI:57287;CHEBI:15378	EC:2.3.1.256 N-terminal methionine N(alpha)-acetyltransferase NatC;EC:2.3.1.258 N-terminal methionine N(alpha)-acetyltransferase NatE	2034
RHEA:50532	2.3.1.258	N-terminal L-methionyl-L-tyrosyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-methionyl-L-tyrosyl-[protein] + CoA + H(+)	CHEBI:133385;CHEBI:57288;CHEBI:133384;CHEBI:57287;CHEBI:15378	EC:2.3.1.256 N-terminal methionine N(alpha)-acetyltransferase NatC;EC:2.3.1.258 N-terminal methionine N(alpha)-acetyltransferase NatE	2034
RHEA:50564	2.3.1.258	N-terminal L-methionyl-L-alanyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-methionyl-L-alanyl-[protein] + CoA + H(+)	CHEBI:133398;CHEBI:57288;CHEBI:133399;CHEBI:57287;CHEBI:15378	EC:2.3.1.258 N-terminal methionine N(alpha)-acetyltransferase NatE	2027
RHEA:50568	2.3.1.258	N-terminal L-methionyl-L-seryl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-methionyl-L-seryl-[protein] + CoA + H(+)	CHEBI:133401;CHEBI:57288;CHEBI:133400;CHEBI:57287;CHEBI:15378	EC:2.3.1.258 N-terminal methionine N(alpha)-acetyltransferase NatE	2027
RHEA:50572	2.3.1.258	N-terminal L-methionyl-L-valyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-methionyl-L-valyl-[protein] + CoA + H(+)	CHEBI:133403;CHEBI:57288;CHEBI:133402;CHEBI:57287;CHEBI:15378	EC:2.3.1.258 N-terminal methionine N(alpha)-acetyltransferase NatE	2027
RHEA:50576	2.3.1.258	N-terminal L-methionyl-L-threonyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-methionyl-L-threonyl-[protein] + CoA + H(+)	CHEBI:133405;CHEBI:57288;CHEBI:133404;CHEBI:57287;CHEBI:15378	EC:2.3.1.258 N-terminal methionine N(alpha)-acetyltransferase NatE	2027
RHEA:50580	2.3.1.258	N-terminal L-methionyl-L-lysyl-[protein] + acetyl-CoA = N-terminal N(alpha)-acetyl-L-methionyl-L-lysyl-[protein] + CoA + H(+)	CHEBI:133407;CHEBI:57288;CHEBI:133406;CHEBI:57287;CHEBI:15378	EC:2.3.1.258 N-terminal methionine N(alpha)-acetyltransferase NatE	2027
RHEA:50624	2.3.3.17	an omega-(methylsulfanyl)-2-oxoalkanoate + acetyl-CoA + H2O = a 2-(omega-methylsulfanyl)alkylmalate + CoA + H(+)	CHEBI:133493;CHEBI:57288;CHEBI:15377;CHEBI:133494;CHEBI:57287;CHEBI:15378	EC:2.3.3.17 methylthioalkylmalate synthase	3
RHEA:50664	2.4.1.69	a beta-D-galactosyl-(1->3)-N-acetyl-beta-D-glucosaminyl derivative + GDP-beta-L-fucose = an alpha-L-Fuc-(1->2)-beta-D-Gal-(1->3)-beta-D-GlcNAc derivative + GDP + H(+)	CHEBI:133506;CHEBI:57273;CHEBI:133509;CHEBI:58189;CHEBI:15378	EC:2.4.1.69 type 1 galactoside alpha-(1,2)-fucosyltransferase	230
RHEA:50696	1.14.15.22	calciol + 2 reduced [2Fe-2S]-[ferredoxin] + O2 + 2 H(+) = calcidiol + 2 oxidized [2Fe-2S]-[ferredoxin] + H2O	CHEBI:28940;CHEBI:33738;CHEBI:15379;CHEBI:15378;CHEBI:17933;CHEBI:33737;CHEBI:15377	EC:1.14.15.22 vitamin D 1,25-hydroxylase	1
RHEA:50700	1.14.15.22	calcidiol + 2 reduced [2Fe-2S]-[ferredoxin] + O2 + 2 H(+) = calcitriol + 2 oxidized [2Fe-2S]-[ferredoxin] + H2O	CHEBI:17933;CHEBI:33738;CHEBI:15379;CHEBI:15378;CHEBI:17823;CHEBI:33737;CHEBI:15377	EC:1.14.15.22 vitamin D 1,25-hydroxylase	1
RHEA:50756	1.19.1.1	reduced [flavodoxin] + NADP(+) = oxidized [flavodoxin] + NADPH + 2 H(+)	CHEBI:57618;CHEBI:58349;CHEBI:58210;CHEBI:57783;CHEBI:15378	EC:1.19.1.1 flavodoxin--NADP(+) reductase	5713
RHEA:50772	1.7.3.1	nitroethane + O2 + H2O = acetaldehyde + nitrite + H2O2 + H(+)	CHEBI:16268;CHEBI:15379;CHEBI:15377;CHEBI:15343;CHEBI:16301;CHEBI:16240;CHEBI:15378	EC:1.7.3.1 nitroalkane oxidase	0
RHEA:50936	2.6.1.111	(3S)-3-aminobutanoyl-CoA + 2-oxoglutarate = acetoacetyl-CoA + L-glutamate	CHEBI:57366;CHEBI:16810;CHEBI:57286;CHEBI:29985	EC:2.6.1.111 3-aminobutanoyl-CoA transaminase	1
RHEA:50996	2.1.1.127	L-lysyl-[ribulose-1,5-bisphosphate carboxylase] + 3 S-adenosyl-L-methionine = N(6),N(6),N(6)-trimethyl-L-lysyl-[ribulose-1,5-bisphosphate carboxylase] + 3 S-adenosyl-L-homocysteine + 3 H(+)	CHEBI:29969;CHEBI:59789;CHEBI:61961;CHEBI:57856;CHEBI:15378	EC:2.1.1.127 [ribulose-bisphosphate carboxylase]-lysine N-methyltransferase	2
RHEA:51000	2.1.1.259	[fructose-bisphosphate aldolase]-L-lysine + 3 S-adenosyl-L-methionine = [fructose-bisphosphate aldolase]-N(6),N(6),N(6)-trimethyl-L-lysine + 3 S-adenosyl-L-homocysteine + 3 H(+)	CHEBI:29969;CHEBI:59789;CHEBI:61961;CHEBI:57856;CHEBI:15378	EC:2.1.1.259 [fructose-bisphosphate aldolase]-lysine N-methyltransferase	2
RHEA:51020	1.1.2.8	a primary alcohol + 2 Fe(III)-[cytochrome c] = an aldehyde + 2 Fe(II)-[cytochrome c] + 2 H(+)	CHEBI:15734;CHEBI:29034;CHEBI:17478;CHEBI:29033;CHEBI:15378	EC:1.1.2.8 alcohol dehydrogenase (cytochrome c)	4
RHEA:51048	1.3.99.5	5alpha-androstan-3,17-dione + A = androst-4-ene-3,17-dione + AH2	CHEBI:15994;CHEBI:13193;CHEBI:16422;CHEBI:17499	EC:1.3.99.5 3-oxo-5alpha-steroid 4-dehydrogenase (acceptor)	1
RHEA:51052	1.3.99.4	5alpha-androstan-3,17-dione + A = 5alpha-androst-1-ene-3,17-dione + AH2	CHEBI:15994;CHEBI:13193;CHEBI:133930;CHEBI:17499	EC:1.3.99.4 3-oxosteroid 1-dehydrogenase	0
RHEA:51056	1.3.99.4	androst-4-ene-3,17-dione + A = androsta-1,4-diene-3,17-dione + AH2	CHEBI:16422;CHEBI:13193;CHEBI:40799;CHEBI:17499	EC:1.3.99.4 3-oxosteroid 1-dehydrogenase	0
RHEA:51060	1.3.99.5	5alpha-androst-1-ene-3,17-dione + A = androsta-1,4-diene-3,17-dione + AH2	CHEBI:133930;CHEBI:13193;CHEBI:40799;CHEBI:17499	EC:1.3.99.5 3-oxo-5alpha-steroid 4-dehydrogenase (acceptor)	1
RHEA:51072	2.8.2.22	an aryl sulfate + a phenol = an aryl sulfate + a phenol	CHEBI:140317;CHEBI:33853	EC:2.8.2.22 aryl-sulfate sulfotransferase	589
RHEA:51148	1.1.9.1	2 oxidized [azurin] + a primary alcohol = 2 reduced [azurin] + an aldehyde + 2 H(+)	CHEBI:29036;CHEBI:15734;CHEBI:49552;CHEBI:17478;CHEBI:15378	EC:1.1.9.1 alcohol dehydrogenase (azurin)	3
RHEA:51152	1.8.3.7	L-cysteinyl-[sulfatase] + 2 a thiol + O2 = an organic disulfide + 3-oxo-L-alanyl-[sulfatase] + hydrogen sulfide + H2O + H(+)	CHEBI:29950;CHEBI:29256;CHEBI:15379;CHEBI:35489;CHEBI:85621;CHEBI:29919;CHEBI:15377;CHEBI:15378	EC:1.8.3.7 formylglycine-generating enzyme	6
RHEA:51220	2.5.1.18	1-chloro-2,4-dinitrobenzene + glutathione = 2,4-dinitrophenyl-S-glutathione + chloride + H(+)	CHEBI:34718;CHEBI:57925;CHEBI:133977;CHEBI:17996;CHEBI:15378	EC:2.5.1.18 glutathione transferase	1085
RHEA:51260	1.14.19.50	4'-O-methylnorbelladine + reduced [NADPH--hemoprotein reductase] + O2 = (10bR,4aS)-noroxomaritidine + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+)	CHEBI:133993;CHEBI:57618;CHEBI:15379;CHEBI:133995;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.19.50 noroxomaritidine synthase	851
RHEA:51264	1.14.19.50	4'-O-methylnorbelladine + reduced [NADPH--hemoprotein reductase] + O2 = (10bS,4aR)-noroxomaritidine + oxidized [NADPH--hemoprotein reductase] + 2 H2O + H(+)	CHEBI:133993;CHEBI:57618;CHEBI:15379;CHEBI:133996;CHEBI:58210;CHEBI:15377;CHEBI:15378	EC:1.14.19.50 noroxomaritidine synthase	851
RHEA:51268	2.1.1.336	norbelladine + S-adenosyl-L-methionine = 4'-O-methylnorbelladine + S-adenosyl-L-homocysteine + H(+)	CHEBI:134001;CHEBI:59789;CHEBI:133993;CHEBI:57856;CHEBI:15378	EC:2.1.1.336 norbelladine O-methyltransferase	72
RHEA:51308	1.14.13.225	L-methionyl-[F-actin] + NADPH + O2 + H(+) = L-methionyl-(R)-S-oxide-[F-actin] + NADP(+) + H2O	CHEBI:16044;CHEBI:57783;CHEBI:15379;CHEBI:15378;CHEBI:45764;CHEBI:58349;CHEBI:15377	EC:1.14.13.225 F-actin monooxygenase	6035
RHEA:51404	1.4.3.25	L-arginine + O2 + H2O = 5-guanidino-2-oxopentanoate + H2O2 + NH4(+)	CHEBI:32682;CHEBI:15379;CHEBI:15377;CHEBI:58489;CHEBI:16240;CHEBI:28938	EC:1.4.3.25 L-arginine oxidase	17
RHEA:51428	2.3.1.280	aminomethylphosphonate + acetyl-CoA = 2-N-acetamidomethylphosphonate + CoA	CHEBI:133674;CHEBI:57288;CHEBI:134093;CHEBI:57287	EC:2.3.1.280 (aminoalkyl)phosphonate N-acetyltransferase	2
RHEA:51436	2.3.1.263	D-alanine + acetyl-CoA = (2R)-2-amino-4-oxopentanoate + CoA	CHEBI:57416;CHEBI:57288;CHEBI:134102;CHEBI:57287	EC:2.3.1.263 2-amino-4-oxopentanoate thiolase	4
RHEA:51496	2.7.1.91	a sphingoid base + ATP = a sphingoid 1-phosphate + ADP + H(+)	CHEBI:84410;CHEBI:30616;CHEBI:76941;CHEBI:456216;CHEBI:15378	EC:2.7.1.91 sphingosine kinase	3787
RHEA:51504	2.4.1.360	a 3'-hydro-2'-hydroxy-beta-oxodihydrochalcone + UDP-alpha-D-glucose = a 3'-(beta-D-glucopyranosyl)-2'-hydroxy-beta-oxodihydrochalcone + UDP + H(+)	CHEBI:142482;CHEBI:58885;CHEBI:142483;CHEBI:58223;CHEBI:15378	EC:2.4.1.360 2-hydroxyflavanone C-glucosyltransferase	7
RHEA:51512	3.5.1.126	oxamate + H2O = oxalate + NH4(+)	CHEBI:58363;CHEBI:15377;CHEBI:30623;CHEBI:28938	EC:3.5.1.126 oxamate amidohydrolase	1
RHEA:51516	2.1.1.337	(R)-reticuline + S-adenosyl-L-methionine = (R)-tembetarine + S-adenosyl-L-homocysteine + H(+)	CHEBI:58144;CHEBI:59789;CHEBI:134198;CHEBI:57856;CHEBI:15378	EC:2.1.1.337 reticuline N-methyltransferase	1
RHEA:51520	2.1.1.337	(S)-reticuline + S-adenosyl-L-methionine = (S)-tembetarine + S-adenosyl-L-homocysteine + H(+)	CHEBI:57873;CHEBI:59789;CHEBI:134199;CHEBI:57856;CHEBI:15378	EC:2.1.1.337 reticuline N-methyltransferase	2
RHEA:51524	2.1.1.337	(S)-corytuberine + S-adenosyl-L-methionine = magnoflorine + S-adenosyl-L-homocysteine	CHEBI:81200;CHEBI:59789;CHEBI:6641;CHEBI:57856	EC:2.1.1.337 reticuline N-methyltransferase	1
RHEA:51544	5.1.3.31	D-ribulose = D-xylulose	CHEBI:17173;CHEBI:17140	EC:5.1.3.31 D-tagatose 3-epimerase	5
RHEA:51548	2.1.1.337	(S)-tetrahydropapaverine + S-adenosyl-L-methionine = (S)-N-methyltetrahydropapaverine + S-adenosyl-L-homocysteine + H(+)	CHEBI:195219;CHEBI:59789;CHEBI:195218;CHEBI:57856;CHEBI:15378	EC:2.1.1.337 reticuline N-methyltransferase	2
RHEA:51556	2.1.1.337	(S)-glaucine + S-adenosyl-L-methionine = (S)-N-methylglaucine + S-adenosyl-L-homocysteine + H(+)	CHEBI:134212;CHEBI:59789;CHEBI:134213;CHEBI:57856;CHEBI:15378	EC:2.1.1.337 reticuline N-methyltransferase	1
RHEA:51560	2.1.1.337	(S)-bulbocapnine + S-adenosyl-L-methionine = (S)-N-methylbulbocapnine + S-adenosyl-L-homocysteine + H(+)	CHEBI:134215;CHEBI:59789;CHEBI:134217;CHEBI:57856;CHEBI:15378	EC:2.1.1.337 reticuline N-methyltransferase	1
RHEA:51564	1.14.15.29	cholest-4-en-3-one + 6 reduced [2Fe-2S]-[ferredoxin] + 3 O2 + 5 H(+) = (25S)-3-oxocholest-4-en-26-oate + 6 oxidized [2Fe-2S]-[ferredoxin] + 4 H2O	CHEBI:16175;CHEBI:33738;CHEBI:15379;CHEBI:15378;CHEBI:71541;CHEBI:33737;CHEBI:15377	EC:1.14.15.29 cholest-4-en-3-one 26-monooxygenase [(25S)-3-oxocholest-4-en-26-oate forming]	5
RHEA:51576	2.4.1.357	phloretin + UDP-alpha-D-glucose = phlorizin + UDP + H(+)	CHEBI:17276;CHEBI:58885;CHEBI:8113;CHEBI:58223;CHEBI:15378	EC:2.4.1.357 phlorizin synthase	3
RHEA:51608	1.1.99.40	(R)-2-hydroxyglutarate + pyruvate = (R)-lactate + 2-oxoglutarate	CHEBI:15801;CHEBI:15361;CHEBI:16004;CHEBI:16810	EC:1.1.99.40 (R)-2-hydroxyglutarate--pyruvate transhydrogenase	2
RHEA:51612	1.1.99.40	(R)-2-hydroxyglutarate + oxaloacetate = (R)-malate + 2-oxoglutarate	CHEBI:15801;CHEBI:16452;CHEBI:15588;CHEBI:16810	EC:1.1.99.40 (R)-2-hydroxyglutarate--pyruvate transhydrogenase	0
RHEA:51656	5.1.2.7	keto-D-tagaturonate = keto-D-fructuronate	CHEBI:17886;CHEBI:59881	EC:5.1.2.7 tagaturonate epimerase	1300
RHEA:51708	1.1.1.407	D-altritol + NAD(+) = keto-D-tagatose + NADH + H(+)	CHEBI:134311;CHEBI:57540;CHEBI:47693;CHEBI:57945;CHEBI:15378	EC:1.1.1.407 D-altritol 5-dehydrogenase	1
