Reaction identifier	Your list:...006E2U	Equation	ChEBI identifier	Enzyme class	Enzymes
RHEA:33299	2.5.1.46	[eIF5A protein]-L-lysine + spermidine = [eIF5A protein]-deoxyhypusine + propane-1,3-diamine	CHEBI:29969;CHEBI:57834;CHEBI:82657;CHEBI:57484	EC:2.5.1.46 deoxyhypusine synthase	2607
RHEA:33415	3.7.1.18	bornane-2,6-dione + H2O = [(1S)-4-hydroxy-2,2,3-trimethylcyclopent-3-enyl]acetate + H(+)	CHEBI:64893;CHEBI:15377;CHEBI:64894;CHEBI:15378	EC:3.7.1.18 6-oxocamphor hydrolase	1
RHEA:33431	5.3.2.6	(2Z,4E)-2-hydroxyhexa-2,4-dienedioate = (3E)-2-oxohex-3-enedioate	CHEBI:28080;CHEBI:64908	EC:5.3.2.6 2-hydroxymuconate tautomerase	959
RHEA:33439	1.2.3.15	glyoxal + O2 + H2O = glyoxylate + H2O2 + H(+)	CHEBI:34779;CHEBI:15379;CHEBI:15377;CHEBI:36655;CHEBI:16240;CHEBI:15378	EC:1.2.3.15 (methyl)glyoxal oxidase	1
RHEA:33467	1.14.19.41	5-dehydroepisterol + NADPH + O2 + H(+) = ergosta-5,7,22,24(28)-tetraen-3beta-ol + NADP(+) + 2 H2O	CHEBI:52972;CHEBI:57783;CHEBI:15379;CHEBI:15378;CHEBI:18249;CHEBI:58349;CHEBI:15377	EC:1.14.19.41 sterol 22-desaturase	596
RHEA:33499	4.1.1.100	prephenate + H(+) = 3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate + CO2	CHEBI:29934;CHEBI:15378;CHEBI:84354;CHEBI:16526	EC:4.1.1.100 prephenate decarboxylase	4
RHEA:33507	4.1.2.27	sphing-4-enine 1-phosphate = (2E)-hexadecenal + phosphoethanolamine	CHEBI:60119;CHEBI:17585;CHEBI:58190	EC:4.1.2.27 sphinganine-1-phosphate aldolase	4
RHEA:33563	2.7.1.91	(4R)-hydroxysphinganine + ATP = (4R)-hydroxysphinganine 1-phosphate + ADP + H(+)	CHEBI:64124;CHEBI:30616;CHEBI:64795;CHEBI:456216;CHEBI:15378	EC:2.7.1.91 sphingosine kinase	4
RHEA:33579	1.1.1.335	UDP-2-acetamido-2-deoxy-alpha-D-glucuronate + NAD(+) = UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate + NADH + H(+)	CHEBI:65040;CHEBI:57540;CHEBI:62250;CHEBI:57945;CHEBI:15378	EC:1.1.1.335 UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase	1
RHEA:33707	2.7.1.177	L-threonine + ATP = O-phospho-L-threonine + ADP + H(+)	CHEBI:57926;CHEBI:30616;CHEBI:58675;CHEBI:456216;CHEBI:15378	EC:2.7.1.177 L-threonine kinase	2
RHEA:33711	3.1.1.92	4-sulfomuconolactone + H2O = maleylacetate + sulfite + 2 H(+)	CHEBI:20479;CHEBI:15377;CHEBI:16468;CHEBI:17359;CHEBI:15378	EC:3.1.1.92 4-sulfomuconolactone hydrolase	2
RHEA:33751	3.1.3.27	a 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycero-3'-phosphate) + H2O = a 1,2-diacyl-sn-glycero-3-phospho-(1'-sn-glycerol) + phosphate	CHEBI:60110;CHEBI:15377;CHEBI:64716;CHEBI:43474	EC:3.1.3.27 phosphatidylglycerophosphatase	8903
RHEA:33763	1.3.1.38	a (2E)-enoyl-CoA + NADPH + H(+) = a 2,3-saturated acyl-CoA + NADP(+)	CHEBI:58856;CHEBI:57783;CHEBI:15378;CHEBI:65111;CHEBI:58349	EC:1.3.1.38 trans-2-enoyl-CoA reductase (NADPH)	5824
RHEA:33807	4.1.1.102	(E)-ferulate + H(+) = 2-methoxy-4-vinylphenol + CO2	CHEBI:29749;CHEBI:15378;CHEBI:42438;CHEBI:16526	EC:4.1.1.102 phenacrylate decarboxylase	869
RHEA:33819	5.3.3.19	3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate = 3-[(1E,4R)-4-hydroxycyclohex-2-en-1-ylidene]pyruvate	CHEBI:84354;CHEBI:84355	EC:5.3.3.19 3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate isomerase	3
