Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Acidianus brierleyi,72,,,,,72,,,,,72,,70,,,,,,,,,
Acidianus infernus,88,,,,,88,,,,,88,,,,,,,,,,,
Acidianus sulfidivorans,70,,,,,,,,,,70,,70,,,,,,,,,
Acidibacillus ferrooxidans,30,,30,,,,,,,,,,,,,,,,,,,
Acidibacillus sulfuroxidans,30,,30,,,,,,,,,,,,,,,,,,,
Acidibacter ferrireducens,28,,,,,,,,,,28,,,,,,,,,,,
Acidibrevibacterium fodinaquatile,37,,,,,,,,,,,,,37,,,,,,,,
Acidicaldus organivorans,50,,,,,50,,,,,50,,,,,,,,,,,
Acidicapsa acidiphila,30,,,,,,,,,,30,,,,,,,,,,,
Acidicapsa acidisoli,26,,,,,,,,,,25,,,,,27,,,,,,
Acidicapsa borealis,22,,,25,,,,,,,20,,,,,,,,,,,
Acidicapsa dinghuensis,28,,,28,,,,,,,,,,,,28,,,,,,
Acidicapsa ferrireducens,30,,,,,,,,,,30,,,,,,,,,,,
Acidicapsa ligni,22,,,20,,,,,,,25,,,,,,,,,,,
Acidiferrimicrobium australe,28,,,,,,,,,,28,,,,,,,,,,,
Acidiferrobacter thiooxydans,30,,,,,,,,,,30,,,,,,,,,,,
Acidihalobacter aeolianus,35,,,,,,,,,,35,,,,,,,,,,,
Acidihalobacter ferrooxydans,35,,,,,,,,,,35,,,,,,,,,,,
Acidihalobacter prosperus,35,,,,,,,,,,35,,,,,,,,,,,
Acidihalobacter yilgarnensis,30,,,,,,,,,,30,,,,,,,,,,,
Acidilobus aceticus,80,,,,,80,,,,,80,,80,,,,,,,,,
Acidilobus saccharovorans,80,,,,,,,,,,80,,80,,,,,,,,,
Acidilobus sacharovorans,50,,,,,,,,,,,,,,,,,,,,50,
Acidiluteibacter ferrifornacis,30,,,,,,,,,,,,30,,,,,,,,,
Acidimangrovimonas indica,25,,,,,,,,,,,,25,,,,,,,,,
Acidimangrovimonas sediminis,28,,,,,,,,,,,,,,,28,,,,,,
Acidimicrobium ferrooxidans,45,,,,,45,,,,,45,,45,,,45,,,,,,
Acidiminas cainoulesii,25,,,25,,,,,,,,,,,,,,,,,,
Acidiphilium acidophilum,30,,,,,30,,,,,30,,,,,,,,,,,26
Acidiphilium angustum,25,,,,,25,,,,,,,,,,,,,,,,
Acidiphilium cryptum,28,,,,,30,,,,,28,,27,,,28,,,,,,
Acidiphilium iwatense,25,,,,,,,,,,,,,25,,25,,,,,,
Acidiphilium multivorum,30,,,,,30,,,,,30,,30,,,31,,,,,,
Acidiphilium organovorum,37,,37,,,37,,,,,,,,,,,,,,,,
Acidipila dinghuensis,29,,,,,,,,,,30,,,28,,,,,,,,
Acidipila rosea,30,,,,,,,,,,30,,,30,,25,,,,,,
Acidiplasma aeolicum,40,,,,,,,,,,40,,40,,,,,,,,,
Acidiplasma cupricumulans,55,,,,,,,,,,55,,55,,,,,,,,,
Acidipropionibacterium acidipropionici,30,,30,37,37,,30,30,,,30,,30,,,,,,,,,30
Acidipropionibacterium damnosum,30,,,,,,,,30,,30,,,,,,,,,,,
Acidipropionibacterium jensenii,30,,30,37,,,30,30,,,30,,,,,,,,,,,33
Acidipropionibacterium microaerophilum,30,,,,,,,,,,30,,,,,,,,,,,30
Acidipropionibacterium olivae,30,,,,,,,,30,,30,,,30,,,,,,,,
Acidipropionibacterium thoenii,30,,,37,,,30,33,,,30,,30,,,,,,,,,30
Acidipropionibacterium virtanenii,30,,,,,,,,,,30,,,,,,,,,,,
Acidisarcina polymorpha,25,,,,,,,,,,,,,,,,,,,,25,
Acidisoma sibiricum,20,,,,,,,,,,20,,,,,,,,,,,
Acidisoma tundrae,20,,,,,,,,,,20,,,,,,,,,,,
Acidisphaera rubrifaciens,30,,,,,,,,,,30,,30,,,,,,,,,
Aciditerrimonas ferrireducens,50,,,,,,,,,,50,,50,,,,,,,,,
Acidithiobacillus albertensis,30,,30,,30,30,,,,,30,,,,,,,,,,,
Acidithiobacillus caldus,45,,,,45,45,,,,,41,,,,,,,,,,,
Acidithiobacillus ferrianus,30,,,,,,,,,,30,,,,,,,,,,,
