Organism,Consensus optimal temperature,ARS,ATCC,BCCM,BCRC,CABRI,CCM,CCUG,CECT,CICC,DSMZ,HAMBI,JCM,KEMB,NBIMCC,NBRC,NCIMB,NCMA,NCTC,NIES,VKM,CIP
Mesobacillus foraminis,33,,,,,,,,,,30,,,,,,,,,,,37
Mesobacillus jeotgali,30,,,,,,,,,,30,,30,30,,,,,,,,
Mesobacillus maritimus,29,,,,,,,,,,,,28,30,,,,,,,,
Mesobacillus persicus,28,,,,,,,,,,28,,,,,,,,,,,
Mesobacillus selenatarsenatis,35,,,,,,,,,,40,,30,,,,,,,,,
Mesobacillus stamsii,29,,,,,,,,,,30,,28,,,,,,,,,
Mesobacillus subterraneus,40,,,,,,,,,,40,,,,,,,,,,,
Mesobacillus thioparans,25,,,,,,,,,,,,,,,,,,,,,25
Mesobacillus zeae,29,,,28,,,28,,,,30,,,,,,,,,,,30
Mesobaculum littorinae,28,,,,,,,,,,,,,28,,,,,,,,
Mesocricetibacter intestinalis,37,,,,,,,,,,37,,,,,,,,,,,
Mesoflavibacter aestuarii,25,,,,,,,,,,,,,25,,,,,,,,
Mesoflavibacter sabulilitoris,30,,,,,,,,30,,,,,30,,,,,,,,
Mesoflavibacter zeaxanthinifaciens,37,,,,37,,,,,,37,,,37,,,,,,,,
Mesohalobacter halotolerans,35,,,,,,,,,,,,,35,,,,,,,,
Mesomycoplasma bovoculi,37,,,,,,,,,,37,,,,,,,,,,,
Mesomycoplasma dispar,37,,,,,,,,,,37,,,,,,,,,,,
Mesomycoplasma hyorhinis,37,,,,,,,,,,37,,,,,,,,,,,
Mesomycoplasma lagogenitalium,37,,,,,,,,,,37,,,,,,,,,,,37
Mesomycoplasma neurolyticum,37,,,,,,,,,,,,,,,,,,,,,37
Mesonia algae,25,,,,,25,,,26,,25,,,25,,,,,,,,25
Mesonia aquimarina,30,,,,,,,,,,,,,30,,,,,,,,
Mesonia hippocampi,28,,,28,,,28,,,,28,,,,,,,,,,,
Mesonia hitae,28,,,,,,,,,,,,,28,,,,,,,,
Mesonia maritima,28,,,,,,,,,,28,,,,,,,,,,,
Mesonia mobilis,25,,,25,,25,,,,,28,,,25,,,,,,,,
Mesonia oceanica,24,,,25,,,,,23,,,,,,,,,,,,,
Mesonia ostrea,30,,,,,,,30,,,,,,,,,,,,,,
Mesonia ostreae,25,,,,,,,,,,,,,25,,,,,,,,
Mesonia phycicola,27,,,,,,,,,,28,,,27,,,,,,,,
Mesonia sediminis,35,,,,,,,,,,,,,35,,,,,,,,
Mesophilobacter marinus,30,,,,,30,,,,,30,,,,,,30,,,,,
Mesoplasma chauliocola,37,,37,,,,,,,,,,,,,,,,,,,
Mesoplasma coleopterae,30,,30,,,,,,,,,,,,,,,,,,,
Mesoplasma florum,30,,30,,,,,,,,,,,,,,,,,,,
Mesoplasma grammopterae,30,,30,,,,,,,,,,,,,,,,,,,
Mesoplasma lactucae,30,,30,,,,,,,,,,,,,,,,,,,
Mesoplasma photuris,30,,30,,,,,,,,,,,,,,,,,,,
Mesoplasma seiffertii,30,,30,,,,,,,,,,,,,,,,,,,
Mesoplasma syrphidae,30,,30,,,,,,,,,,,,,,,,,,,
Mesoplasma tabanidae,30,,30,,,,,,,,,,,,,,,,,,,
Mesorhizobium abyssinicae,29,,,28,,,,,,,30,,,,,,,,,,,
Mesorhizobium acaciae,30,,,,,,,,,,,,30,,,,,,,,,
Mesorhizobium albiziae,28,,,28,,28,,,,,28,,,,,,,,,,,
Mesorhizobium alexandrii,25,,,,,,,,,,,,,25,,,,,,,,
Mesorhizobium amorphae,28,,30,28,,28,,,,,28,,28,,,,,,,,,30
Mesorhizobium atlanticum,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium australicum,28,,,28,,28,,,,,,,,,,,,,,,,
Mesorhizobium calcicola,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium camelthorni,30,,,,,,,,,,30,,,,,,,,,,,
Mesorhizobium cantuariense,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium caraganae,28,,,28,,28,,,,,,,,,,,,,,,,
Mesorhizobium carmichaelinearum,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium chacoense,28,,,28,,28,,,26,,28,,,,,,,,,,,30
Mesorhizobium ciceri,28,,26,28,30,29,,,26,,27,,28,,,,,,,,,30
Mesorhizobium composti,30,,,,30,,,,,,,,30,,,,,,,,,
Mesorhizobium delmotii,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium denitrificans,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium ephedrae,30,,,,,,,,,,,,,30,,,,,,,,
Mesorhizobium erdmanii,29,,,28,,,,,30,,,,,,,,,,,,,
Mesorhizobium gobiense,28,,,28,,28,,,,,,,,,,,,,,,,
Mesorhizobium hankyongi,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium hawassense,29,,,28,,,,,,,30,,,,,,,,,,,
Mesorhizobium helmanticense,29,,,28,,,,,30,,,,,,,,,,,,,
Mesorhizobium huakuii,30,,,28,30,30,,,,,30,,25,,,,25,,,,,30
Mesorhizobium intechi,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium japonicum,29,,,28,,,,,30,,,,,,,,,,,,,
Mesorhizobium jarvisii,29,,,28,,,,,30,,,,,,,,,,,,,
Mesorhizobium kowhaii,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium loti,25,,,28,25,27,,,26,,26,28,25,,,,25,,,,,30
Mesorhizobium mediterraneum,30,,,28,30,30,,,26,,30,,28,,,,,,,,,30
Mesorhizobium metallidurans,28,,,28,,28,,,,,,,,,,,,,,,,
Mesorhizobium microcysteis,30,,,,,,,,,,,,30,,,,,,,,,
Mesorhizobium muleiense,30,,,,,,,,,,30,,,,,,,,,,,
Mesorhizobium newzealandense,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium norvegicum,28,,,28,,,,,,,28,,,,,,,,,,,
Mesorhizobium oceanicum,35,,,,,,,,,,,,,35,,,,,,,,
Mesorhizobium olivaresii,29,,,28,,,,,30,,,,,,,,,,,,,
Mesorhizobium opportunistum,28,,,28,,28,,,,,,,,,,,,,,,,
Mesorhizobium plurifarium,28,,,28,,28,,,,,30,28,28,,,,,,,,,30
Mesorhizobium prunaredense,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium qingshengii,29,,,28,,,,,,,30,,,,,,,,,,,
Mesorhizobium robiniae,30,,,,,,,,,,30,,,,,,,,,,,
Mesorhizobium sangaii,30,,,,,,,,,,30,,,,,,,,,,,
Mesorhizobium sanjuanii,29,,,28,,,,,30,,,,,,,,,,,,,
Mesorhizobium sediminum,29,,,,,,,,,,,,30,28,,,,,,,,
Mesorhizobium septentrionale,28,,,28,,28,,,,,,,,,,,,,,,,
Mesorhizobium shangrilense,28,,,28,,28,,,,,28,,,,,,,,,,,
Mesorhizobium shonense,29,,,28,,,,,,,30,,,,,,,,,,,
Mesorhizobium silamurunense,29,,,28,,,,,,,30,,,,,,,,,,,
Mesorhizobium soli,37,,,37,,,,,,,,,37,,,,,,,,,
Mesorhizobium sophorae,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium tamadayense,30,,,28,,,,,30,,30,,,,,,,,,,,
Mesorhizobium tarimense,28,,,28,,28,,,,,,,,,,,,,,,,
Mesorhizobium temperatum,28,,,28,,28,,,,,,,28,,,,,,,,,
Mesorhizobium terrae,25,,,,,,,,,,,,25,25,,,,,,,,
Mesorhizobium thiogangeticum,28,,,28,,28,,,,,28,,,,,,,,,,,30
Mesorhizobium tianshanense,30,,,28,30,30,,,,,,,28,,,,,,,,,30
Mesorhizobium waimense,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium waitakense,28,,,28,,,,,,,,,,,,,,,,,,
Mesorhizobium wenxiniae,28,,,28,,,,,,,,,,,,,,,,,,
Mesosutterella multiformis,37,,,,,,,,,,37,,37,,,,,,,,,
Mesotoga infera,45,,,,,,,,,,45,,45,,,,,,,,,
Mesotoga prima,37,,,,,,,,,,37,,,,,,,,,,,
Metabacillus crassostreae,30,,,,,,,,,,30,,30,,,,,,,,,30
Metabacillus elymi,30,,,,,,,,,,,,,30,,,,,,,,
Metabacillus fastidiosus,30,,,,,,,,,,30,,,,,,,,,,,
Metabacillus galliciensis,22,,,,,,,,,,22,,,,,,,,,,,
Metabacillus halosaccharovorans,30,,,,,,,,,,30,,,,,,,,,,,
Metabacillus herbersteinensis,30,,,,,,,,,,30,,,,,,,,,,,30
Metabacillus idriensis,33,,,,,,,,,,29,,37,,,,,,,,,
Metabacillus indicus,30,,,,,,,,,,30,,30,,,,,,,,,30
Metabacillus iocasae,30,,,,,,,,,,30,,,,,,,,,,,
Metabacillus lacus,37,,,,,,,,,,,,37,37,,,,,,,,
Metabacillus litoralis,37,,,,,,,,,,30,,,37,,,,,,,,37
Metabacillus malikii,29,,,,,,,,,,30,,28,,,,,,,,,
Metabacillus mangrovi,29,,,,,,,,,,,,28,31,,,,,,,,
Metabacillus niabensis,30,,,,,,,,,,30,,30,,,,,,,,,30
Metabacillus sediminilitoris,30,,,,,,,,,,30,,,,,,,,,,,
Metakosakonia massiliensis,37,,,,,,,,,,37,,,,,,,,,,,37
Metallibacterium scheffleri,25,,,,,,,,,,25,,25,,,,,,,,,
Metallosphaera cuprina,65,,,,,,,,,,,,65,,,,,,,,,
Metallosphaera hakonensis,65,,,,,65,,,,,65,,70,,,,,,,,,
Metallosphaera prunae,75,,,,,75,,,,,75,,,,,,,,,,,
Metallosphaera sedula,65,,,,,65,,,,,65,,65,,,,,,,,,
Metalysinibacillus jejuensis,30,,,,,,,,,,,,,30,,,,,,,,
Metamycoplasma arthritidis,37,,,,,,,,,,37,,,,,,,,,,,
Metamycoplasma hominis,37,,,,,,,,,,37,,,,,37,,,,,,
Metamycoplasma neophronis,37,,,,,,,,,,37,,,,,,,,,,,
Metamycoplasma orale,37,,,,,,,,,,37,,,,,37,,,,,,
Metamycoplasma salivarium,37,,,,,,,,,,,,,,,37,,,,,,
Metamycoplasma spumans,37,,,,,,,,,,,,,,,37,,,,,,
Metamycoplasma sualvi,37,,,,,,,,,,37,,,,,,,,,,,
Metaplanococcus flavidus,29,,,,,,,30,,,28,,,,,,,,,,,
Metapochonia hahajimaensis,25,,,,,,,,,,,,25,,,,,,,,,
Metaprevotella massiliensis,37,,,,,,,,,,37,,,,,,,,,,,
Metarhizium aciculare,24,,,,,,,,,,,,24,,,,,,,,,
Metarhizium anisopliae,23,,,,,,,,,,23,,,,,,,,,,,
Metarhizium flavoviride,30,,,,,,,,,,30,,,,,,,,,,,
Metascardovia criceti,37,,,37,,37,,,,,,,,,,,,,,,,
Metasolibacillus meyeri,30,,,,,,,,,,30,,,,,,,,,,,
Metathermus centralius,50,50,,,,,,,,,,,,,,,,,,,,
Methanimicrococcus blatticola,35,,,,,35,,,,,35,,37,,,,,,,,,
Methanobacterium aarhusense,40,,,,,40,,,,,40,,,,,,,,,,,
Methanobacterium aggregans,40,,,,,,,,,,40,,40,,,,,,,,,
Methanobacterium alcaliphilum,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanobacterium arcticum,37,,,,,,,,,,37,,,,,,,,,,37,
Methanobacterium beijingense,37,,,,,37,,,,,37,,,,,,,,,,,
Methanobacterium bryantii,37,,37,,,37,,,,,37,,,,,,,,,,45,
Methanobacterium congolense,37,,,,,37,,,,,37,,,,,,,,,,,
Methanobacterium espanolae,35,,,,,35,,,,,35,,,,,,,,,,,
Methanobacterium ferruginis,37,,,,,,,,,,37,,,,,,,,,,,
Methanobacterium flexile,37,,,,,,,,,,37,,37,,,,,,,,,
Methanobacterium formicicum,37,,,,,37,,,,,37,,37,,,,,,,,37,
Methanobacterium ivanovii,41,,,,,41,,,,,,,,,,,,,,,41,
Methanobacterium kanagiense,40,,,,,,,,,,40,,40,,,,,,,,,
Methanobacterium lacus,29,,,,,,,,,,29,,30,,,,,,,,,
Methanobacterium movens,37,,,,,,,,,,37,,37,,,,,,,,,
Methanobacterium movilense,29,,,,,,,,,,30,,28,,,,,,,,,
Methanobacterium oryzae,37,,,,,37,,,,,37,,,,,,,,,,,
Methanobacterium paludis,26,,,,,,,,,,28,,24,,,,,,,,,
Methanobacterium palustre,37,,,,,37,,,,,37,,,,,,,,,,,
Methanobacterium petrolearium,35,,,,,,,,,,35,,,,,,,,,,,
Methanobacterium subterraneum,37,,,,,37,,,,,37,,,,,,,,,,,
Methanobacterium thermaggregans,65,,60,,,65,,,,,65,,,,,,,,,,,
Methanobacterium thermoautotrophicus,65,,,,,,,,,,,,,,,,,,,,65,
Methanobacterium uliginosum,37,,,,,37,,,,,,,,,,,,,,,,
Methanobacterium veterum,28,,,,,,,,,,28,,,,,,,,,,28,
Methanobrevibacter acididurans,37,,,,,37,,,,,,,,,,,,,,,,
Methanobrevibacter arboriphilicus,37,,,,,37,,,,,,,,,,,,,,,,
Methanobrevibacter arboriphilus,37,,,,,,,,,,37,,37,,,,,,,,,
Methanobrevibacter boviskoreani,37,,,,,,,,,,37,,37,,,,,,,,,
Methanobrevibacter curvatus,30,,,,,30,,,,,30,,,,,,,,,,,
Methanobrevibacter cuticularis,37,,,,,,,,,,37,,,,,,,,,,,
Methanobrevibacter filiformis,30,,,,,30,,,,,30,,,,,,,,,,,
Methanobrevibacter gottschalkii,20,,,,,4,,,,,37,,,,,,,,,,,
Methanobrevibacter millerae,37,,,,,37,,,,,,,,,,,,,,,,
Methanobrevibacter olleyae,37,,,,,37,,,,,37,,,,,,,,,,,
Methanobrevibacter oralis,35,,,,,35,,,,,35,,35,,,,,,,,,
Methanobrevibacter ruminantium,37,,,,,37,,,,,37,,37,,,,,,,,,
Methanobrevibacter smithii,37,,,,,37,,,,,37,,37,,,,,,,,,
Methanobrevibacter thaueri,37,,,,,37,,,,,37,,,,,,,,,,,
Methanobrevibacter woesei,37,,,,,37,,,,,37,,,,,,,,,,,
Methanobrevibacter wolinii,4,,,,,4,,,,,,,,,,,,,,,,
Methanocalculus alkaliphilus,30,,,,,,,,,,30,,,,,,,,,,,
Methanocalculus chunghsingensis,37,,,,,37,,,,,37,,,,,,,,,,,
Methanocalculus halotolerans,37,,,,,37,,,,,37,,,,,,,,,,,
Methanocalculus natronophilus,35,,,,,,,,,,35,,,,,,,,,,35,
Methanocalculus pumilus,37,,,,,37,,,,,37,,35,,,,,,,,,
Methanocalculus taiwanensis,37,,,,,37,,,,,37,,,,,,,,,,,
Methanocaldococcus bathoardescens,80,,,,,,,,,,80,,,,,,,,,,,
Methanocaldococcus fervens,85,,,,,85,,,,,85,,85,,,,,,,,,
Methanocaldococcus indicus,85,,,,,85,,,,,85,,80,,,,,,,,,
Methanocaldococcus infernus,85,,,,,85,,,,,85,,85,,,,,,,,,
Methanocaldococcus jannaschii,80,,,,,82,,,,,80,,80,,,,,,,,,
Methanocaldococcus villosus,80,,,,,,,,,,80,,80,,,,,,,,,
Methanocaldococcus vulcanius,80,,,,,80,,,,,80,,,,,,,,,,,
Methanocella arvoryzae,45,,,,,,,,,,45,,,,,,,,,,,
Methanocella conradii,50,,,,,,,,,,50,,,,,,,,,,,
Methanocella paludicola,37,,,,,,,,,,37,,37,,,,,,,,,
Methanococcoides alaskense,20,,,,,20,,,,,20,,,,,,,,,,,
Methanococcoides burtonii,21,,,,,21,,,,,21,,,,,,,,,,,
Methanococcoides methylutens,30,,30,,,30,,,,,30,,,,,,,,,,,
Methanococcoides vulcani,25,,,,,,,,,,25,,25,,,,,,,,,
Methanococcus aeolicus,39,,,,,40,,,,,38,,,,,,,,,,,
Methanococcus maripaludis,37,,37,,,37,,,,,37,,37,,,,,,,,,
Methanococcus vannielii,35,,,,,35,,,,,35,,35,,,,,,,,,
Methanococcus voltae,30,,,,,30,,,,,30,,37,,,,,,,,,
Methanocorpusculum aggregans,35,,,,,35,,,,,36,,,,,,,,,,,
Methanocorpusculum bavaricum,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanocorpusculum labreanum,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanocorpusculum parvum,37,,,,,37,,,,,,,,,,,,,,,,
Methanocorpusculum sinense,30,,,,,30,,,,,30,,,,,,,,,,,
Methanoculleus bourgensis,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanoculleus chikugoensis,30,,,,,28,,,,,32,,30,,,,,,,,,
Methanoculleus horonobensis,37,,,,,,,,,,37,,37,,,,,,,,,
Methanoculleus hydrogenitrophicus,37,,,,,,,,,,37,,37,,,,,,,,,
Methanoculleus marisnigri,32,,37,,,28,,,,,32,,,,,,,,,,,
Methanoculleus palmolei,37,,,,,37,,,,,37,,,,,,,,,,,
Methanoculleus receptaculi,50,,,,,,,,,,50,,,,,,,,,,,
Methanoculleus sediminis,37,,,,,,,,,,37,,,,,,,,,,,
Methanoculleus submarinus,37,,,,,37,,,,,37,,,,,,,,,,,
Methanoculleus taiwanensis,37,,,,,,,,,,37,,,,,,,,,,,
Methanoculleus thermophilus,55,,55,,,55,,,,,55,,,,,,,,,,,
Methanofervidicoccus abyssi,70,,,,,,,,,,70,,70,,,,,,,,,
Methanofollis aquaemaris,37,,,,,37,,,,,37,,,,,,,,,,,
Methanofollis ethanolicus,37,,,,,,,,,,,,37,,,,,,,,,
Methanofollis fontis,37,,,,,,,,,,37,,,,,,,,,,,
Methanofollis formosanus,37,,,,,37,,,,,37,,,,,,,,,,,
Methanofollis liminatans,37,,,,,37,,,,,37,,,,,,,,,,,
Methanofollis tationis,37,,,,,37,,,,,37,,,,,,,,,,,
Methanogenium boonei,15,,,,,15,,,,,15,,,,,,,,,,,
Methanogenium cariaci,22,,,,,22,,,,,21,,25,,,,,,,,,
Methanogenium frigidum,15,,,,,15,,,,,15,,,,,,,,,,,
Methanogenium marinum,22,,,,,22,,,,,22,,,,,,,,,,,
Methanogenium organophilum,30,,30,,,30,,,,,30,,,,,,,,,,,
Methanohalobium evestigatum,50,,,,,50,,,,,50,,,,,,,,,,,
Methanohalophilus euhalobius,37,,,,,37,,,,,37,,,,,,,,,,,
Methanohalophilus halophilus,30,,,,,30,,,,,30,,,,,,,,,,,
Methanohalophilus levihalophilus,35,,,,,,,,,,35,,,,,,,,,,,
Methanohalophilus mahii,37,,,,,37,,,,,37,,,,,,,,,,,
Methanohalophilus portucalensis,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanohalophilus profundi,30,,,,,,,,,,30,,30,,,,,,,,,
Methanolacinia paynteri,37,,,,,37,,,,,37,,,,,,,,,,,
Methanolacinia petrolearia,37,,,,,,,,,,37,,,,,,,,,,,
Methanolinea mesophila,37,,,,,,,,,,37,,,,,,,,,,,
Methanolinea tarda,50,,,,,,,,,,50,,50,,,,,,,,,
Methanolobus bombayensis,35,,,,,35,,,,,35,,,,,,,,,,,
Methanolobus chelungpuianus,37,,,,,,,,,,37,,37,,,,,,,,,
Methanolobus halotolerans,30,,,,,,,,,,30,,,,,,,,,,,
Methanolobus oregonensis,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanolobus profundi,30,,,,,,,,,,30,,,,,,,,,,,
Methanolobus psychrotolerans,35,,,,,,,,,,35,,,,,,,,,,,
Methanolobus taylorii,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanolobus tindarius,25,,,,,25,,,,,25,,,,,,,,,,,
Methanolobus vulcani,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanolobus zinderi,37,,,,,,,,,,37,,,,,,,,,,,
Methanomassiliicoccus luminyensis,37,,,,,,,,,,37,,37,,,,,,,,,
Methanomethylovorans hollandica,37,,,,,37,,,,,37,,,,,,,,,,,
Methanomethylovorans thermophila,50,,,,,50,,,,,50,,,,,,,,,,,
Methanomethylovorans uponensis,36,,,,,,,,,,35,,37,,,,,,,,,
Methanomicrobium antiquum,35,,,,,,,,,,35,,,,,,,,,,,
Methanomicrobium mobile,37,,,,,37,,,,,37,,37,,,,,,,,,
Methanomonas methylovora,30,,,,,30,,,,,,,,,,,,,,,,
Methanonatronarchaeum thermophilum,50,,,,,,,,,,50,,,,,,,,,,,
Methanoplanus endosymbiosus,30,,,,,30,,,,,30,,,,,,,,,,,
Methanoplanus limicola,31,,,,,32,,,,,30,,,,,,,,,,,
Methanoplanus petrolearius,37,,,,,37,,,,,,,,,,,,,,,,
Methanopyrus kandleri,98,,,,,98,,,,,98,,95,,,,,,,,,
Methanoregula boonei,28,,,,,,,,,,28,,,,,,,,,,,
Methanoregula formicica,30,,,,,,,,,,30,,,,,,,,,,,
Methanosaeta concilii,35,,,,,35,,,,,,,,,,,,,,,,
Methanosaeta harundinacea,37,,,,,37,,,,,,,,,,,,,,,,
Methanosaeta pelagica,30,,,,,,,,,,30,,,,,,,,,,,
Methanosalsum natronophilum,30,,,,,,,,,,30,,,,,,,,,,,
Methanosalsum zhilinae,41,,,,,41,,,,,41,,,,,,,,,,,
Methanosarcina acetivorans,37,,,,,38,,,,,37,,37,,,,,,,,,
Methanosarcina baltica,20,,,,,20,,,,,20,,,,,,,,,,,
Methanosarcina barkeri,37,,,,,33,,,,,35,,37,,,,,,,,37,
Methanosarcina calensis,30,,,,,30,,,,,,,,,,,,,,,,
Methanosarcina flavescens,45,,,,,,,,,,45,,45,,,,,,,,,
Methanosarcina horonobensis,37,,,,,,,,,,37,,37,,,,,,,,,
Methanosarcina lacustris,25,,,,,25,,,,,22,,,,,,,,,,25,
Methanosarcina mazei,37,,37,,,37,,,,,37,,37,,,,,,,,37,
Methanosarcina porcellina,26,,,,,,,,,,,,,,,,,,,,26,
Methanosarcina semesiae,30,,,,,30,,,,,,,,,,,,,,,,
Methanosarcina siciliae,37,,37,,,37,,,,,37,,,,,,,,,,,
Methanosarcina soligelidi,28,,,,,,,,,,28,,,,,,,,,,,
Methanosarcina spelaei,29,,,,,,,,,,30,,28,,,,,,,,,
Methanosarcina subterranea,32,,,,,,,,,,30,,35,,,,,,,,,
Methanosarcina thermophila,52,,,,,52,,,,,50,,,,,,,,,,52,
Methanosarcina vacuolata,37,,,,,37,,,,,37,,,,,,,,,,37,
Methanosphaera cuniculi,37,,,,,37,,,,,37,,,,,,,,,,,
Methanosphaera stadtmanae,37,,,,,37,,,,,37,,37,,,,,,,,,
Methanosphaerula palustris,28,,,,,,,,,,28,,,,,,,,,,,
Methanospirillum hungatei,37,,,,,37,,,,,37,,37,,,,,,,,,
Methanospirillum lacunae,30,,,,,,,,,,30,,30,,,,,,,,30,
Methanospirillum stamsii,27,,,,,,,,,,30,,,,,,,,,,25,
Methanothermobacter crinale,65,,,,,,,,,,65,,65,,,,,,,,,
Methanothermobacter defluvii,60,,60,,,60,,,,,60,,,,,,,,,,60,
Methanothermobacter marburgensis,65,,,,,65,,,,,65,,65,,,,,,,,,
Methanothermobacter tenebrarum,67,,,,,,,,,,70,,65,,,,,,,,,
Methanothermobacter thermautotrophicus,60,,60,,,60,,,,,60,,65,,,,,,,,62,
Methanothermobacter thermoautotrophicus,61,,,,,,,,,,,,,,,,,,,,61,
Methanothermobacter thermoflexus,55,,60,,,55,,,,,55,,,,,,,,,,55,
Methanothermobacter thermophilus,60,,,,,60,,,,,60,,,,,,,,,,57,
Methanothermobacter wolfei,60,,,,,,,,,,60,,,,,,,,,,,
Methanothermobacter wolfeii,60,,,,,60,,,,,,,60,,,,,,,,,
Methanothermococcus okinawensis,65,,,,,65,,,,,65,,60,,,,,,,,,
Methanothermococcus thermolithotrophicus,65,,,,,65,,,,,65,,65,,,,,,,,,
Methanothermus fervidus,80,,,,,80,,,,,80,,80,,,,,,,,,
Methanothermus sociabilis,88,,,,,88,,,,,88,,85,,,,,,,,,
Methanothrix soehngenii,37,,,,,,,,,,,,37,,,,,,,,,
Methanothrix thermoacetophila,55,,,,,,,,,,55,,55,,,,,,,,,
Methanothrix thermophila,60,,,,,60,,,,,,,,,,,,,,,,
Methanotorris formicicus,70,,,,,70,,,,,70,,70,,,,,,,,,
Methanotorris igneus,85,,,,,85,,,,,85,,85,,,,,,,,,
Methermicoccus shengliensis,65,,,,,,,,,,65,,,,,,,,,,,
Methylarcula marina,30,,,,,,,,,,,,,,,,,,,,30,
Methylibium petroleiphilum,27,,26,28,,28,,,26,,,,,,,,,,,,,
Methylobacillus arboreus,28,,,,,,,30,,,29,,,,,,,,,,25,
Methylobacillus caricis,30,,,,,,,37,,,,,25,,,,,,,,29,
Methylobacillus flagellatus,30,,,,,30,,,,,30,,,,,,,,,,36,
Methylobacillus fructoseoxidans,28,,,,,28,,,,,,,,,,,,,,,,
Methylobacillus glycogenes,25,,,25,,25,,,,,30,,30,,,,25,,,,29,
Methylobacillus gramineus,28,,,,,,,30,,,29,,,,,,,,,,25,
Methylobacillus methanolivorans,29,,,,,,,37,,,,,29,,,,,,,,29,
Methylobacillus pratensis,27,,,,,,,,,,28,,,,,,,,,,27,
Methylobacillus rhizosphaerae,29,,,,,,,,,,,,,29,,,,,,,,
Methylobacterium adhaesivum,28,,,28,,28,27,,30,,28,,,28,,,,,,,,
Methylobacterium aerolatum,29,,,,,,,,,,30,,30,28,,28,,,,,,
Methylobacterium ajmalii,28,,,28,,,,,,,,,,,,,,,,,,
Methylobacterium aminovorans,30,,30,28,,30,,,,,,,,,,,,,,,30,
Methylobacterium aquaticum,28,30,,28,28,26,27,,30,,28,,,,,,,,,,,25
Methylobacterium brachiatum,29,,,,,,,,,,28,,,,,30,,,,,,
Methylobacterium brachythecii,28,,,,,,,,,,28,,,,,28,,,,,,
Methylobacterium bullatum,28,,,28,,28,,30,,,28,,,,,,,,,,,
Methylobacterium cerastii,26,,,26,,,25,,,,26,,,,,,,,,,,
Methylobacterium chloromethanicum,30,,,,,30,,30,,,,,,,,,,,,,,
Methylobacterium crusticola,28,,,,,,,,,,,,,28,,,,,,,,
Methylobacterium currus,30,,,,,,,,,,,,30,,,,,,,,,
Methylobacterium dankookense,25,,,,,,,,,,25,,,25,,,,,,,,
Methylobacterium durans,25,,,,,,,,,,,,,25,,25,,,,,,
Methylobacterium extorquens,30,28,30,26,30,27,27,30,,,,,,,,,30,,,,29,30
Methylobacterium frigidaeris,30,,,,,,,,,,,,30,,,,,,,,,
Methylobacterium fujisawaense,30,,26,,26,30,,30,,,30,,30,,,30,30,,,,30,30
Methylobacterium gnaphalii,28,,,,,,,,,,28,,,,,28,,,,,,
Methylobacterium goesingense,28,,,,,,,,,,28,,,,,,,,,,,
Methylobacterium gossipii,30,30,,,,,,,,,,,,,,,,,,,,
Methylobacterium gossipiicola,30,30,,,,,30,,,,,,,,,,,,,,,
Methylobacterium gregans,29,,,,,,,,,,28,,,,,30,,,,,,
Methylobacterium haplocladii,28,,,,,,,,,,28,,,,,28,,,,,,
Methylobacterium hispanicum,28,,,,,26,,,30,28,28,,,,,,,,,,,25
Methylobacterium indicum,30,,,,,,,,,,,,30,,,,,,,,,
Methylobacterium iners,28,,,28,,,,,,,30,,30,28,,28,,,,,,
Methylobacterium isbiliense,28,,,28,28,28,27,,30,,28,,,28,,,,,,,,
Methylobacterium jeotgali,28,,,28,,28,,,,,,,,30,,,,,,,,
Methylobacterium komagatae,29,,,,,,,,,,28,,,,,30,,,,,,
Methylobacterium longum,28,,,,28,,,,30,,28,,,,,,,,,,,
Methylobacterium lusitanum,28,,,,,26,,30,,,,,,,,,,,,,,
Methylobacterium marchantiae,27,,,,,,,,26,,28,,,,,,,,,,,
Methylobacterium mesophilicum,27,28,,25,,25,27,30,,,25,,30,30,,30,25,,,,30,25
Methylobacterium nodulans,28,,,28,28,28,,,,,,,,,,,,,,,30,
Methylobacterium nonmethylotrophicum,30,,,,,,,,,,,,,30,,,,,,,,
Methylobacterium organophilum,30,,,25,,27,27,30,,,30,,30,,,30,30,,,,29,25
