Epoch	Time(sec)	Loss_train	MAE_train	RMSE_train	R2_train	loss_val	MAE_val	MAE_test	RMSE_val	RMSE_test	R2_val	R2_test	Lr
110	39007.3336	5.6483	1.6607	2.3766	0.7791	12.3078	2.4303	2.4511	3.5082	3.5164	0.5242	0.5141	4.239115827521624e-05
111	39387.1848	5.6743	1.6616	2.3821	0.7781	12.3007	2.4361	2.4395	3.5072	3.4975	0.5245	0.5193	4.239115827521624e-05
112	39770.7961	5.6937	1.6672	2.3861	0.7773	12.3455	2.4377	2.4511	3.5136	3.5138	0.5228	0.5148	4.239115827521624e-05
113	40147.6765	5.7473	1.6731	2.3973	0.7752	12.1232	2.4167	2.4377	3.4818	3.4982	0.5314	0.5191	3.8152042447694614e-05
114	40511.9591	5.6503	1.6586	2.377	0.779	12.0973	2.4079	2.4364	3.4781	3.5071	0.5324	0.5167	3.8152042447694614e-05
115	40887.1955	5.6732	1.6578	2.3819	0.7781	12.3646	2.4327	2.448	3.5163	3.5185	0.5221	0.5135	3.8152042447694614e-05
116	41274.2887	5.5869	1.6476	2.3637	0.7815	12.2613	2.4338	2.4661	3.5016	3.5287	0.526	0.5107	3.433683820292515e-05
117	41657.9134	5.6249	1.6524	2.3717	0.78	12.2143	2.4212	2.4429	3.4949	3.5091	0.5279	0.5161	3.433683820292515e-05
118	42040.182	5.5512	1.6404	2.3561	0.7829	12.339	2.4322	2.456	3.5127	3.5244	0.523	0.5119	3.433683820292515e-05
119	42419.1583	5.5191	1.6411	2.3493	0.7841	12.3371	2.4335	2.4586	3.5124	3.5464	0.5231	0.5058	3.090315438263264e-05
120	42776.6896	5.5165	1.6408	2.3487	0.7842	12.256	2.4188	2.4359	3.5009	3.5061	0.5262	0.5169	3.090315438263264e-05
121	43158.4757	5.4691	1.628	2.3386	0.7861	12.215	2.4208	2.4398	3.495	3.5143	0.5278	0.5147	3.090315438263264e-05
122	43544.9084	5.5327	1.6363	2.3522	0.7836	12.233	2.4158	2.4416	3.4976	3.5121	0.5271	0.5153	3.090315438263264e-05
123	43930.9662	5.5294	1.6318	2.3515	0.7837	12.3256	2.4263	2.4219	3.5108	3.4948	0.5236	0.52	2.7812838944369376e-05
124	44317.4947	5.5369	1.6369	2.3531	0.7834	12.059	2.4023	2.4249	3.4726	3.492	0.5339	0.5208	2.7812838944369376e-05
125	44674.0638	5.5333	1.6336	2.3523	0.7836	12.1126	2.4065	2.4401	3.4803	3.5036	0.5318	0.5176	2.7812838944369376e-05
126	45052.6239	5.4626	1.6264	2.3372	0.7863	12.198	2.4201	2.4515	3.4926	3.5199	0.5285	0.5131	2.503155504993244e-05
127	45435.6511	5.4489	1.6284	2.3343	0.7869	12.0897	2.409	2.4264	3.477	3.4887	0.5327	0.5217	2.503155504993244e-05
128	45821.5443	5.3489	1.6103	2.3128	0.7908	12.2012	2.4083	2.4324	3.493	3.4977	0.5284	0.5192	2.503155504993244e-05
129	46204.6908	5.3932	1.6165	2.3223	0.7891	12.4865	2.4259	2.4401	3.5336	3.5229	0.5173	0.5123	2.2528399544939195e-05
130	46572.0749	5.4139	1.6181	2.3268	0.7882	12.2804	2.42	2.4468	3.5043	3.5237	0.5253	0.5121	2.2528399544939195e-05
131	46949.2741	5.4031	1.618	2.3245	0.7887	12.224	2.4127	2.4348	3.4963	3.5087	0.5275	0.5162	2.2528399544939195e-05
132	47330.0744	5.3986	1.6149	2.3235	0.7888	12.3187	2.4178	2.4386	3.5098	3.5195	0.5238	0.5132	2.2528399544939195e-05
133	47710.7075	5.359	1.6062	2.315	0.7904	12.3351	2.422	2.4356	3.5121	3.5147	0.5232	0.5146	2.0275559590445276e-05
134	48092.8292	5.3966	1.6158	2.3231	0.7889	12.2755	2.4121	2.4366	3.5036	3.5169	0.5255	0.514	2.0275559590445276e-05
135	48471.8543	5.3527	1.6081	2.3136	0.7906	12.22	2.4054	2.4362	3.4957	3.5174	0.5276	0.5138	2.0275559590445276e-05
136	48827.1499	5.3385	1.6045	2.3105	0.7912	12.1366	2.3976	2.4249	3.4838	3.4966	0.5309	0.5196	1.8248003631400748e-05
137	49208.2003	5.2862	1.5966	2.2992	0.7932	12.3403	2.4216	2.4323	3.5129	3.5067	0.523	0.5168	1.8248003631400748e-05
138	49591.8955	5.3244	1.6022	2.3075	0.7917	12.4278	2.4238	2.4267	3.5253	3.5103	0.5196	0.5158	1.8248003631400748e-05
139	49976.1104	5.29	1.5984	2.3	0.7931	12.3049	2.4209	2.4228	3.5078	3.5029	0.5244	0.5178	1.6423203268260675e-05
140	50362.1016	5.2512	1.5944	2.2915	0.7946	12.3732	2.4177	2.4322	3.5176	3.5273	0.5217	0.5111	1.6423203268260675e-05
141	50728.8234	5.3599	1.6077	2.3152	0.7904	12.2445	2.4079	2.4327	3.4992	3.5143	0.5267	0.5147	1.6423203268260675e-05
